10:30:28.664 INFO   - BackgroundStateContext::requestStateTransition
10:30:28.664 INFO   - BackgroundStateContext::completeRequestedStateTransitionIfExists
10:30:28.664 INFO   - BackgroundStateUnloaded::end
10:30:28.664 INFO   - BackgroundStateOriginal::begin
10:30:28.664 INFO   - MainWindow::slotViewZoom
10:30:28.664 INFO   - MainWindow::slotViewZoomFactor
10:30:28.664 INFO   - StatusBar::slotZoom zoom=10
10:30:28.664 INFO   - MainWindow::slotViewZoom
10:30:28.664 INFO   - MainWindow::slotViewZoomFactor
10:30:28.664 INFO   - StatusBar::slotZoom zoom=10
10:30:28.664 INFO   - MainWindow::updateSettingsMainWindow
10:30:28.664 INFO   - MainWindow::updateWindowTitle
10:30:28.664 INFO   - MainWindow::updateFittingWindow
10:30:28.664 INFO   - MainWindow::updateGeometryWindow
10:30:28.664 INFO   - MainWindow::setCurrentFile
10:30:28.664 INFO   - MainWindow::updateWindowTitle
10:30:28.675 INFO   - MainWindow::showEvent files=
10:30:33.261 INFO   - MainWindow::slotFileImport
10:30:33.261 INFO   - MainWindow::fileImportWithPrompts importType=0
10:30:36.081 INFO   - MainWindow::fileImport fileName=/home/nl255551/Bureau/articles_ravik/courbes_ravik/Kennel16.png curDir=/home/nl255551/Bureau/articles_ravik/courbes_ravik importType=0
10:30:36.081 INFO   - Jpeg2000::load filename=/home/nl255551/Bureau/articles_ravik/courbes_ravik/Kennel16.png
10:30:36.081 ERROR  - Jpeg2000::load encountered error creating decoding stream
10:30:36.091 INFO   - MainWindow::loadImage fileName=/home/nl255551/Bureau/articles_ravik/courbes_ravik/Kennel16.png importType=0
10:30:36.091 INFO   - MainWindow::loadImageNewDocument fileName=/home/nl255551/Bureau/articles_ravik/courbes_ravik/Kennel16.png importType=0
10:30:36.091 INFO   - CoordSystemContext::CoordSystemContext
10:30:36.091 INFO   - Document::Document image=745x615
10:30:36.091 INFO   - CoordSystemContext::addCoordSystems numberToAdd=1
10:30:36.091 INFO   - CoordSystem::CoordSystem
10:30:36.092 INFO   - CmdMediator::CmdMediator image=745x615
10:30:36.092 INFO   - MainWindow::setupAfterLoadNewDocument file=/home/nl255551/Bureau/articles_ravik/courbes_ravik/Kennel16.png message=File imported importType=0
10:30:36.092 INFO   - DigitizeStateContext::resetOnLoad
10:30:36.092 INFO   - DocumentModelColorFilter::DocumentModelColorFilter
10:30:36.092 INFO   - BackgroundStateContext::setCurveSelected curve=
10:30:36.092 INFO   - BackgroundStateCurve::setCurveSelected curve=
10:30:36.092 INFO   - BackgroundStateCurve::processImageFromSavedInputs
10:30:36.092 INFO   - BackgroundStateAbstractBase::setProcessedPixmap map=(0x0)
10:30:36.092 INFO   - BackgroundStateNone::setCurveSelected
10:30:36.092 INFO   - BackgroundStateOriginal::setCurveSelected
10:30:36.092 INFO   - BackgroundStateUnloaded::setCurveSelected
10:30:36.092 INFO   - Document::curvesGraphsNames
10:30:36.092 INFO   - CoordSystemContext::curvesGraphsNames
10:30:36.092 INFO   - MainWindow::setPixmap
10:30:36.092 INFO   - DigitizeStateContext::setImageIsLoaded
10:30:36.092 INFO   - DigitizeStateContext::setCursor
10:30:36.092 INFO   - DocumentModelColorFilter::DocumentModelColorFilter
10:30:36.092 INFO   - BackgroundStateContext::setPixmap image=745x615 currentState=BackgroundStateOriginal
10:30:36.092 INFO   - BackgroundStateCurve::setPixmap
10:30:36.092 INFO   - BackgroundStateCurve::processImageFromSavedInputs
10:30:36.092 INFO   - DocumentModelColorFilter::high curve=Curve1 curves=Curve1,Axes
10:30:36.092 INFO   - DocumentModelColorFilter::low curve=Curve1 curves=Curve1,Axes
10:30:36.107 INFO   - GridRemoval::remove transformationIsDefined=false removeDefinedGridLines=false
10:30:36.107 INFO   - BackgroundStateAbstractBase::setProcessedPixmap map=(745x615)
10:30:36.107 INFO   - BackgroundStateNone::setPixmap
10:30:36.108 INFO   - BackgroundStateAbstractBase::setProcessedPixmap map=(745x615)
10:30:36.108 INFO   - BackgroundStateOriginal::setPixmap
10:30:36.108 INFO   - BackgroundStateAbstractBase::setProcessedPixmap map=(745x615)
10:30:36.108 INFO   - BackgroundStateUnloaded::setPixmap
10:30:36.108 INFO   - Transformation::resetOnLoad
10:30:36.108 INFO   - TransformationStateContext::resetOnLoad
